"name","introduction","altname","pathogenic_site","department","population","symptom","inspect","complication","treatment","medication"
"老年人败血症","败血症是致病或条件致病菌侵入血液循环中生长繁殖、产生毒素和其他代谢产物所引起的全身性感染。主要临床表现为寒战、高热、毒血症状，以及皮疹、关节痛，部分出现迁徙性病灶、感染性休克等。绝大多数呈急性病程。","老年败血症,老年人败血病","血液血管","血液科,老年科","青年为多","反复高热,昏迷,气息异常,关节疼痛,心悸","脑脊液病原体","None","药物疗法、对症治疗","替硝唑胶囊,氟氯西林钠胶囊,详细"
"急性失血性贫血","急性失血性贫血是因外伤或疾病致血管破裂，或凝血、止血障碍等原因使大量血液在短期内丢失，不仅影响血容量而且引起急性失血后贫血，其发生初期贮铁并不减少。","None","血液血管","血液科,急诊科","患有可能发生大出血疾病或有...","面色苍白,脉搏细速,意识丧失,心动过速","CT检查,MRI,心电图,网织红细胞生成指数,血清乳酸脱氢酶","休克","西药、手术治疗","养血当归糖浆,养血当归糖浆,蛋白琥珀酸铁口服溶液,详细"
"嗜酸性粒细胞白血病","嗜酸粒细胞白血病(eosinophilic leukemia，EL)是一种罕见的白血病，以外周血及骨髓异常嗜酸性粒细胞增多为特征，常累及心脏、肺及神经系统，并呈进行性贫血和血小板减少。","嗜酸细胞性白血病","骨髓","血液科","所有人群","丘疹,淋巴结肿大,嗜酸细胞增加,共济失调,呼吸异常","CT检查,心电图,心电图检查,染色体,骨髓象分析","贫血,癫痫","药物治疗","乌苯美司胶囊,醋酸泼尼松片,注射用重组人干扰素α2b,详细"
"淤滞性紫癜","本病又称肢端血管性皮炎(acroangiodermatitis)，系由于静脉淤滞而出现的下肢紫癜性损害。常伴有静脉回流阻滞的因素，如静脉曲张和心力衰竭等，以致静脉压力增大、红细胞外渗所致。","瘀积性紫癜,肢端血管皮炎,肢端血管性皮炎","下肢","血液科,中西医结合科","常在长期站立或行走人群中发...","水肿,溃疡,硬化,水肿,溃疡",,"湿疹","药物治疗","七叶皂苷钠片,甲地高辛片,硫唑嘌呤片,详细"
"老年人慢性淋巴细胞白血病","慢性淋巴细胞白血病(chronic lymphoblastic leukaemia;CLL)是由于单克隆性小淋巴细胞扩增、积蓄浸润骨髓、血液、淋巴结和其他器官，最终导致正常造血功能衰竭的恶性疾病。","老年慢性淋巴细胞白血病,老年人慢性淋巴细胞性白血病","骨髓","血液科,肿瘤科","多为老年，平均发病年龄多为...","淋巴结肿大,乏力,盗汗,血小板减少,腋下淋巴肿大","CT检查,WBC,染色体,骨髓淋巴细胞系统,骨髓象分析","贫血","化学治疗、放射治疗","复方环磷酰胺片,注射用磷酸氟达拉滨,苯丁酸氮芥片,详细"
"慢性肾性贫血","由于各种器质性肾脏疾病，引起慢性肾功能衰竭所致贫血称为慢性肾性贫血。慢性肾功能衰竭时肾脏的外分泌和内分泌功能减退或丧失，其贫血发病机制复杂，临床贫血表现常常被原发肾脏疾病所掩盖，尤其在发病初期易被临床医师忽略，随着肾脏透析疗法的广泛应用，慢性肾功能衰竭患者生存期明显延长，慢性肾性贫血也越来越多见。","None","血液血管","血液科","慢性肾功能衰竭患者较常见","气短,心悸,面色苍白,乏力,出血倾向","尿铁,血清铁,血肌酐,骨髓显像","肾功能衰竭","药物治疗、手术治疗","养血当归糖浆,养血当归糖浆,右旋糖酐铁分散片,详细"
"成人型慢性粒细胞白血病","1845年以脾大、贫血和粒细胞增多为特征的CML被临床医师所认识。CML占所有白血病的15%～20%。在儿童CML可以表现为两种类型：成人型CML(ACML)和JMML，JMML只限于儿童，有独特的临床、实验室和细胞遗传学特征。","None","骨髓","血液科","所有人群","周身不适,乏力,体重减轻,发烧,淋巴结肿大","心电图,氧化醋酸AS-D萘酚酯酶染色,胸部B超,骨髓单核细胞系统,骨髓显像","None","中医药物治疗、西医药物治疗","乌苯美司胶囊,硫鸟嘌呤片,硫唑嘌呤片,详细"
"遗传性球形红细胞增多症","无胆色素尿性黄胆综合征(Abdominal Apoplexy Syndrome)，又称遗传性球形红细胞增多症，是一种红细胞膜有先天性缺陷的疾病，其特点为慢性过程中伴有急性发作的溶血性贫血和黄疸，血液中球形细胞增多，红细胞的渗透脆性增加。","None","血液血管","血液科","多在幼儿和儿童期发病","全身各脏器血流缓慢,红细胞增多,脾肿大","红细胞九分图分析,红细胞孵育渗透脆性试验,红细胞检查,红细胞渗透脆性试验,红细胞滚动试验","心肌病,复发性溃疡,胆石症,痛风","药物治疗、骨髓移植、支持治疗","叶酸片,头孢氨苄,详细"
"Castleman病","Castleman病(Castleman’s disease，CD)属原因未明的反应性淋巴结病之一，临床较为少见，以深部或浅表淋巴结显著肿大为特点，部分病例可伴全身症状和(或)多系统损害，多数病例手术切除肿大的淋巴结后，效果良好。","巨大淋巴结增生,血管滤泡性淋巴结样增生","淋巴","血液科,内分泌科","中青年人群","消瘦,乏力,高热,低烧,肝肿大","CT检查,尿常规,心电图,骨髓象分析","干燥综合征","手术治疗","硫酸长春碱注射液,硫酸长春新碱,吲哚美辛巴布膏,详细"
"椎间隙感染","化脓性脊椎炎比较少见，临床上有两种类型，一种为椎体化脓性骨髓炎，另一种为椎间隙感染。","None","脊柱","骨科,血液科","椎间盘手术后患者","寒战,高热,神经根刺激,剧烈疼痛,压痛","MRI,WBC","None","药物治疗、局部治疗","盐酸米诺环素胶囊,乳酸左氧氟沙星片,颈椎椎间隙植入物,详细"
"高胡萝卜素血症","高胡萝卜素血症(hypercarotenaemia)，又称柑皮症，是一种因血内胡萝卜素含量过高引起的皮肤黄染症。皮肤黄染而巩膜不黄染是最重要的特征。纠正基础疾病，不需特殊治疗。","柑皮症,胡萝卜素血症,血胡萝卜素过多症,血内胡萝卜素过多症","皮肤","血液科,皮肤科,营养科","所有人群","胡萝卜素血症,色素异常,无瘙痒，无肝胆疾病的皮肤黄染","血清β-胡萝卜素","抑郁症","生活调理、病因治疗","联苯双酯片,复方β-胡萝卜素胶囊,详细"
"原发性淋巴瘤","原发性淋巴瘤是一组起源于淋巴结或其他淋巴组织的恶性肿瘤，可分为霍奇金病(简称HD)和非霍奇金淋巴瘤(简称NHL)两大类，组织学可见淋巴细胞和(或)组织细胞的肿瘤性增生。","None","淋巴","血液科","40至50岁中年人","淋巴结肿大,疼痛,咳嗽,胸闷,盗汗","白细胞数,积液β2-微球蛋白,血清乳酸脱氢酶","骨的原发性淋巴瘤",,"复方斑蝥胶囊,复方斑蝥胶囊,艾迪注射液,详细"
"老年人过敏性紫癜","过敏性紫癜(allergic purpura)是由于血管壁异常所致的出血性疾患，主要是机体对某些物质发生变态反应，引起毛细血管通透性增加导致出血，表现为过敏性血管炎征象。临床特征为皮肤紫癜，可伴有腹痛、消化道出血、关节痛和(或)血尿、肾病变等。本病伴腹部和关节疼痛症状称Henoch-Schönlein综合征。老年人不多见。","老年人 Henoch-Schonlein综合征,老年人变态反应性紫癜,老年人亨诺-许兰二氏紫癜","血液血管","老年科,血液科","小儿多见","皮肤紫癜,关节肿胀,食欲减退,大便黑色,恶心与呕吐","毛细血管脆性试验,眼底检查,血沉","肾功能衰竭","西医药治疗","维生素C注射液,维生素C片,转移因子胶囊,详细"
"类白血病反应","类白血病反应是某种因素刺激机体的造血组织而引起的某种细胞增多或左移反应，似白血病现象。其分型较多，其中以中性粒细胞型最多见。本病最多见于某些细菌和病毒的严重感染，亦常出现于恶性肿瘤广泛播散，急性溶血及某些药物反应。 本病以儿童及青少年较多见，男女发病率无差别。类白血病反应是正常骨髓对某些刺激信号作出的一种反应。","白血病样反应","全身","血液科,内科","儿童及青少年较多见，男女发...","淋巴结肿大,肝脾肿大,肝脾肿大,出血倾向,淋巴结肿大","细胞组织化学染色,胸部平片,遗传筛查,骨髓象分析","贫血,溶血性贫血","中医药物治疗、西医药物治疗","利可君片,鲨肝醇片,甲氨蝶呤片,详细"
"老年性紫癜","老年性紫癜是发生于高龄者的慢性皮肤紫癜及小血肿。年龄越大发病的机会也越大，可能是由于小血管中胶原减少，伴皮下脂肪和弹性纤维减少，使血管在压力增大时，脆性增加，也有人将其归入机械性紫癜。","None","血液血管","血液科,中西医结合科","多见于60岁以上的男性或女性","丘疹,皮肤紫癜,皮肤色素加深,紫癜,老年性震颤","血浆凝血酶,骨髓象分析","多发性斑状色素沉着症","药物治疗","升血小板胶囊,酮康唑洗剂,保妇康栓,详细"
"腺淋巴瘤","腺淋巴瘤（adenolymphoma）又称乳头状淋巴囊腺瘤（papillary cystadenoma lymphomatosum）或Warthin瘤。本病首先由Albrecht和Arzt（1910）报道，并称之为乳头状淋巴囊腺瘤。Warthin（1929）报告2例并详加描述，故以此命名。","乳头状淋巴囊腺瘤,Warthin瘤","口","肿瘤科,血液科","40～70岁为好发年龄，儿童极...","淋巴结退化,生长缓慢,腮腺无痛性肿块,囊肿,腮腺无痛性肿块","头颅平片,颅脑MRI,颅脑超声检查","细菌感染性肺炎","药物治疗","重组人干扰素α1b注射液,注射用盐酸表柔比星,注射用盐酸博来霉素,详细"
"高免疫球蛋白E综合征","高免疫球蛋白E综合征即Job综合征，又称姚皮炎综合征、慢性肉芽肿病变异型(Granulomatous disease variant)、Buckley综合征等。本病征是一种病因及发病机理尚不清楚的少见疾病。主要特征有：①慢性湿疹性皮炎;②反复严重感染;③血清IgE明显增高。1966年由Davis等首先报道，并定名为Job综合征。1972年Buckley等相继报告病例并发现患儿血清中IgE明显升高，故又曾以Buckley的名字命名为Buckley综合征。目前大多数学者都以高IgE综合征(HIES)取代Job综合征及Buckley综合征的名称。","高IgE综合征,高免疫球蛋白E血症综合征,高免疫球蛋白E综合症,慢性肉芽肿病变异型,姚皮炎综合征","血液血管","皮肤科,血液科","未满1岁的婴儿","丘疹,瘙痒,结痂,脓疱,免疫力下降","脑电图,血清免疫球蛋白E","单纯疱疹,骨质疏松","西医药物治疗","头孢氨苄甲氧苄啶胶囊,复方磺胺甲噁唑片,头孢拉定分散片（250mg*36片）,详细"
"中枢神经系统白血病","中枢神经系统白血病(central nervous system leukemia,CNS-L)系白血病细胞髓外浸润至蛛网膜或蛛网膜邻近神经组织而产生的临床症状和体征，是白血病的一种常见并发症，对预后有重要影响。","脑白","脊髓","血液科","所有人群","头痛,颈强直,血小板减少,凝血障碍,颅内出血","脑脊液纤维连接蛋白,脑脊液细胞学检查,颅脑CT,颅脑MRI","头痛,恶心和呕吐","病因治疗、对症治疗暂无","醋酸泼尼松片,硫唑嘌呤片,复方吡拉西坦脑蛋白水解物片,详细"
"营养性巨幼红细胞性贫血","营养性巨幼红细胞性贫血又称营养性大细胞性贫血，主要是由于缺乏维生素B12及叶酸所致，常见于婴幼儿时期，也见于孕妇及哺乳妇女，其他年龄较少见，确切的发病率欠详。随着人民生活经济情况的好转，在大中城市此病已属罕见，但在华北，西北，东北和西南等地的农村尚不少见。","营养性大细胞性贫血","血液血管","血液科,营养科","多见于婴幼儿、尤其是2岁以","疲乏,腱反射亢进,反应迟钝,抽搐,毛发稀少","红细胞大小异常,维生素,维生素B12,血液生化六项,骨髓象分析","拉肚子","药物治疗支持性治疗","腺苷钴胺片,维生素C片,注射用腺苷钴胺,详细"
"铁中毒","铁中毒(iron poisoning)并不少见，大多是由于误食过量硫酸亚铁所致。幼婴可因内服硫酸亚铁40mg～1.5g发生严重中毒，甚至死亡;较大幼儿有因误服10～15粒糖衣亚铁丸(每丸0.3g)中毒致死。也有因食铁锅里煮的酸性水果而引起铁中毒。注射铁制剂过量可以发生严重中毒。","None","全身","血液科,急诊科","所有人群","肚子疼,肝衰竭,肝功能异常,恶心,肾损害","尿常规,微量元素中毒检测,血液检查,血液生化六项,血清铁","休克,肾功能衰竭","药物治疗、洗胃","维生素C片,维生素C片,多烯磷脂酰胆碱胶囊,详细"
"淋巴细胞减少症","淋巴细胞减少症是指成人淋巴细胞总数<1000/μl，儿童(2岁以下)<3000/μl。正常成人淋巴细胞数1000~4800/μl，儿童(2岁以下)3000~9500/μl。6岁达正常低值为1500/μl。约65%外周血T细胞为CD4+ (辅助性)T细胞。大多淋巴细胞减少症患者T细胞绝对数减少，特别是CD4+ 细胞数减少。成人外周血CD4+ T细胞平均值为1100/μl(300~1300/μl)，其他主要T细胞亚群CD8+ (抑制性)T细胞绝对数为600/μl(100~900/μl)。","None","血液血管","血液科,内科","所有人群","反复感染,免疫缺陷,脾肿大,粒细胞减少,淋巴结肿大","淋巴细胞计数,血液检查,骨髓各系细胞形态学检查","风疹,水痘肺炎","药物治疗","重组人粒细胞刺激因子注射液,甲磺酸伊马替尼胶囊,康艾注射液,详细"
"巨球蛋白血症","﻿血液中IgM异常增多即为巨球蛋白血症，本病分为原发性和继发性，原发性巨球蛋白血症的病因不明，又称为华氏巨球蛋白血症。本症有原发和继发之分，原因不明的单克隆lgM增多称之为原发性巨球蛋白血症(Waldenstrom 巨球蛋白血症)，继发于其它疾病的单克隆或多克隆lgM增多称之为继发性巨球蛋白血症。原发性巨球蛋白血症的临床表现特征是老年发病、贫血、出血倾向及高黏滞综合征。诊断依据血中出现大量单克隆lgM和骨髓中有淋巴样浆细胞浸润。本病呈慢性过程，无临床症状时不宜化疗，对进展性疾病采用化疗。","None","血液血管","血液科,内科","老年患者","出血倾向,乏力,消瘦,慢性肾功能不全,淋巴结肿大","中性粒细胞杀菌试验,细胞组织化学染色,肾功能,血清冷球蛋白,骨髓各系细胞形态学检查","贫血,淋巴瘤,白血病","中医药物治疗、西医药物治疗","注射用异环磷酰胺,静注人免疫球蛋白(pH4),苯丁酸氮芥片,详细"
"地中海贫血","地中海贫血又称海洋性贫血。是一组遗传性小细胞性溶血性贫血。其共同特点是由于珠蛋白基因的缺陷使血红蛋白中的珠蛋白肽链有一种或几种合成减少或不能合成。导致血红蛋白的组成成分改变，本组疾病的临床症状轻重不一，大多表现为慢性进行性溶血性贫血。","地贫,海洋性贫血,珠蛋白生成障碍性贫血","血液血管","血液科,儿科","所有人群，婴幼儿","气血不足,脾肿大,头晕,皮肤呈浅黄或深金黄色,重度贫血","Hb-F碱变性试验,异常红细胞形态,红细胞检查,红细胞渗透脆性试验,骨髓象分析","肝硬化,贫血,肝炎,积聚,胆石","药物治疗","鱼鳞病片,参一胶囊,得斯芬注射用甲磺酸去铁胺,详细"
"弥漫性血管内凝血","弥漫性血管内凝血(简称DIC)不是单独的疾病，而是由于多种病因所引起的一种复杂的病理过程和临床综合征。其特征是微循环内发生广泛的血小板凝集和纤维蛋白沉积，导致弥漫性微血栓形成、继发性凝血因数和血小板的大量被消耗，以及纤维蛋白溶解亢进，从而引起微循环障碍、出血、溶血等一系列严重的临床表现。急性弥漫性血管内凝血的病情进展迅速，如不及时治疗，往往危及生命。","None","血液血管","血液科,内科","好发于凝血功能障碍者","大动脉供血障碍,耳壳的干性坏死,皮肤出血点,肚子疼,出血倾向","凝血时间,凝血酶原时间,凝血酶时间,血小板计数,血浆纤维蛋白原","血尿,贫血,休克,急性呼吸窘迫综合征","药物治疗","藻酸双酯钠片,肝素钠注射液,藻酸双酯钠片,详细"
"老年急性白血病","老年白血病的定义不一，一般多指年愈60岁的白血病患者与其他年龄组白血病一样，是一种病因不明的原发于造血干细胞的恶性疾病。成人急性白血病(ALL)随年龄增长发病率逐渐下降，老年人ALL的年发病率约为1/10万；AML则年轻人少见，至40岁后发病呈指数增加，愈趋老年发病率愈高，中位发病年龄约64岁。老年急性白血病的生物学特征主要是大多患者一般情况差，合并心、肝、肾等重要脏器疾病者多见，约30%的患者于白血病发病前有MDS病史，白血病常累及更早阶段的造血干细胞，常伴有预后不良的细胞遗传学异常，且常有MDR1和P-gp的高表达等。","老年急性淋巴细胞白血病","骨髓","血液科,肿瘤科","老年人","淋巴结肿大,发烧,结节,隐痛,面色苍白","CT检查,MRI,心电图,骨髓象分析","肺咳,细菌感染性肺炎","病因治疗、对症治疗","乌苯美司胶囊,注射用羟喜树碱,甲氨蝶呤片,详细"
"维生素K缺乏病","维生素K缺乏病是由维生素K缺乏引起的全身相关系统临床症状的一种疾病。","维生素K缺乏症，获得性凝血酶原减低症","全身","血液科,内科","所有人群","脂溶性维生素缺乏,颅内压增高,颅内出血,齿龈出血,脑膜刺激征","凝血酶原消耗纠正试验,心电图,血浆凝血因子IX活性,血浆凝血因子Ⅱ活性,血浆凝血因子Ⅶ活性","新生儿出血症","药物治疗","口服五维赖氨酸葡萄糖,口服五维赖氨酸葡萄糖,维生素D滴剂,详细"
"小儿急性淋巴细胞性白血病","小儿急性淋巴细胞性白血病(pediatric acute lymphoblastic leukemia )是最常见的儿童肿瘤性疾病，是指前体B、T或成熟B淋巴细胞发生克隆性异常增殖所致的恶性疾病。急性淋巴细胞性白血病占儿童急性白血病的80%，发病率高峰在3岁至7岁之间。近40年来，特别是20世纪80年代以后，对儿童ALL的基础和临床研究取得了巨大的成就，儿童ALL已成为可以治愈的恶性肿瘤，是当今疗效最好、治愈率最高的恶性肿瘤性疾病之一。目前小儿ALL的完全缓解(CR)率可达95%以上，5年以上持续完全缓解(CCR)率可达65%～80%。我国小儿急性白血病的发病率约为1/10万，其中以总性淋巴细胞性白血病占多数。","儿童急性成淋巴细胞性白血病","血液血管","儿科,血液科,肿瘤科","儿童人群","齿龈出血,活动后气促,抽搐,食欲减退,便血","儿童体检,出血时间,肝功能,脑脊液细胞计数","败血症,贫血","药物治疗","醋酸泼尼松片,硫唑嘌呤片,甲氨蝶呤片,详细"
"小儿传染性单核细胞增多症","传染性单核细胞增多症(传单)是一种由EB病毒引起的以侵犯淋巴系统为主的急性感染性疾病。临床表现为发热、咽峡炎、淋巴结肿大“三联征”。血中淋巴细胞增多并有异型淋巴。血清中可检出EB病毒抗体。","小儿传单","血液血管","儿科,血液科,传染科","幼儿人群","肚子疼,肝脾肿大,结膜充血,斑丘疹,吞咽困难","心电图,胸部平片,脑电图,血清EB病毒壳抗原IgA抗体,血清EB病毒抗体","心肌炎,溶血性贫血,血小板减少性紫癜,再生障碍性贫血",,"诺氟沙星胶囊,诺氟沙星胶囊,腺苷脱氨酶测定试剂盒(黄嘌呤氧化酶法),详细"
"叶酸缺乏症","叶酸缺乏症是指由于叶酸摄入不足或吸收不良引起的以巨幼红细胞性贫血为特征的临床综合征。","叶酸缺乏","血液血管","营养科,血液科,体检保健科","摄入不足、吸收障碍、需要量...","乏力,手足麻木,感觉障碍,食欲减退,血小板减少","全血细胞计数,组氨酸,血清叶酸","巨幼细胞性贫血,高血压,营养不良","药物治疗","叶酸片,碳酸钙D3片,维生素D滴剂,详细"
"单核细胞白血病","单核细胞白血病(monocytic leukemia) 的特异性皮肤损害为紫色到红褐色丘疹、结节和斑块。急性单核细胞白血病(AMOL)可发生水疱性损害。皮损发展周期快，可自然消退。","单核细胞性白血病","骨髓","血液科","所有人群","丘疹,结节,水疱或大疱损害","氧化醋酸AS-D萘酚酯酶染色,溶解酶,维生素B12","None","病因治疗、对症治疗","乌苯美司胶囊,注射用门冬酰胺酶,甲氨蝶呤片,详细"
"阴沟肠杆菌感染","阴沟肠杆菌(Enterobacter cloacae)广泛存在于自然界中，在人和动物的粪便、水、泥土、植物中均可检出，是肠道正常菌种之一，但可作为条件致病菌。随着头孢菌素的广泛使用，阴沟肠杆菌已成为医院感染越来越重要的病原菌，其引起的细菌感染性疾病，常累及多个器官系统，包括皮肤软组织感染、泌尿道感染、呼吸道感染、菌血症、败血症、眼球炎等。由于阴沟肠杆菌能产生超广谱β-内酰胺酶(extended-spectrum β-lactamases，ESBLs)和Amp C酶引起严重的耐药性，给临床治疗带来了新的挑战。","阴沟气杆菌感染","颅脑","呼吸内科,消化内科,血液科","老年患者或新生儿多发","发烧,寒战,发烧,皮肤软组织感染,泌尿系统感染","尿常规,明胶液化试验,特殊细菌涂片,直接涂片检查,血液及骨髓细菌培养","感染性休克,弥散性血管内凝血,肺脓肿,脑脓肿","药物治疗","头孢氨苄甲氧苄啶胶囊,头孢克肟胶囊,左氧氟沙星片,详细"
"粒细胞缺乏症","粒细胞缺乏症时，因血中粒细胞极度减低甚至完全缺如，极易合并严重感染，病情危重，死亡率高，需积极抢救。在抗生素问世前，死亡率高达90-95%，自应用抗生素后，已下降至20%，但仍需早期诊断、早期治疗。","None","脊髓","血液科","常见原因是患者对药物（氨基...","恶心,高热,寒战,紫绀,高热","WBC,血沉,骨髓象分析","药物过敏,意识障碍","中医药物治疗、西医药物治疗","伊曲康唑胶囊,盐酸左氧氟沙星片,重组人粒细胞刺激因子注射液,详细"
"血栓性血小板减少性紫癜","血栓性血小板减少性紫癜又称血栓性微血管病性溶血性贫血、血小板血栓形成综合征等。为一种不常见的血栓性微血管病，伴有微血管病性溶血性贫血。临床特征为发热，血小板减少性紫癜，微血管病性溶性性贫血，多种神经系统损伤和肾损害等。其病因不明，可能与血管因素、感染以及药物过敏等有关。大部分病人年龄在10-40岁之间，约60%是女性。起病急骤，病情严重，2/3病例在3个月内死亡，少数病例较缓慢，病程可达数月至数年。","血栓性微血管病性溶血性贫血","血液血管","血液科,内科","女性稍多，但发病高峰年龄是...","肚子疼,血小板寿命缩短,血小板减少,乏力,出血倾向","凝血酶时间,出血时间,蛋白C,血清类风湿因子,部分凝血活酶时间","溶血性贫血,肾衰,心肌梗塞,心律失常",,"双嘧达莫,双嘧达莫片,硫唑嘌呤片,详细"
"红细胞增多症","红细胞增多症(polycythemia)以红细胞数目、血红蛋白、红细胞压积和血液总容量显著地超过正常 水平为特点。儿童时期血红蛋白超过180g/L(16g/dl)，红细胞压积大于55%和每公斤体重红细胞容量绝对值超过35ml，排除因急性脱水或烧伤等所致的血液浓缩而发生的相对性红细胞增多，即可诊断。本症可分为原发性与继发性两大类。原发性的即真性红细胞增多症;继发性的主要是由组织缺氧所引起的。","None","血液血管","血液科","成年人","头昏,乏力,健忘,皮肤瘙痒,复视","红细胞压积(HCT),红细胞膜磷脂,维生素B12,血浆正铁血红蛋白,骨髓象分析","相对性红细胞增多症,继发性红细胞增多症,遗传性干瘪红细胞增多症,口形红细胞增多症,遗传性椭圆形红细胞增多症","药物","大黄庶虫丸,心脑欣丸,腺苷钴胺片,详细"
"弥散性血管内凝血","在某些致病因子作用下，凝血因子和血小板被激活，大量促凝物质入血，凝血酶增加，进而微循环中形成广泛的微血栓。微血栓形成中消耗了大量凝血因子和血小板，继发性纤维蛋白溶解功能增强，导致患者出现出血，休克，器官功能障碍和溶血性贫血等临床表现。这种病理过程被称为DIC。","None","血液血管","血液科","感染性疾病和恶性疾病多发","凝血因子功能的障碍,肚子疼,呼吸困难,皮肤出血点","3p试验,β血小板球蛋白和血小板第4因子,凝血酶原时间,凝血酶时间,纤维蛋白降解产物","休克","药物治疗","肝素钠乳膏,华法林钠片,氨甲环酸片,详细"
"急性髓细胞白血病","急性髓细胞白血病(acute myelocytic leukemia，AML) 或急性非淋巴细胞白血病(ANLL)包括所有非淋巴细胞来源的急性白血病。","急非淋,急粒,急性非淋巴细胞白血病,急性髓细胞性白血病","骨髓","血液科,肿瘤科","随年龄增长发病率升高","凝血障碍,骨溶解,白细胞减少,无力,肝肿大","乳酸脱氢酶,尿溶菌酶,血清乳酸脱氢酶,血清溶菌酶,骨髓象分析","中枢神经系统白血病","药物治疗","乌苯美司胶囊,注射用甲氨蝶呤,甲氨蝶呤片,详细"
"浆细胞瘤","浆细胞瘤是起源于骨髓的一种原发性的和全身性的恶性肿瘤，来源于B淋巴细胞，具有向浆细胞分化的性质。孤立性骨浆细胞瘤罕见，可被治愈。其中多发性浆细胞瘤为最常见，其特点为溶骨性损害和浆细胞浸润骨髓。此外，常伴发贫血，高球蛋白血症，高钙血症，肾功能受损和易患感染。","None","骨","肿瘤科,血液科","好发于成年人或老年人","脊髓压迫,骨髓浆细胞增多,放射性疼痛,弥漫性下腰痛,乏力","脊柱检查,血清免疫蛋白电泳,血清蛋白电泳,血清钙,颅骨透照试验","贫血,尿毒症","化疗、手术治疗","复方斑蝥胶囊,消癌平片,乌苯美司胶囊,详细"
"代谢性碱中毒","代谢性碱中毒是指体内酸丢失过多或者从体外进入碱过多的临床情况，主要生化表现为血HCO3-过高，PaCO2增高。pH值按代偿情况而异，可以明显过高;也可以仅轻度升高甚至正常。本病临床上常伴有血钾过低。","None","全身","血液科,内分泌科","幽门梗阻、严重呕吐者","少尿,腱反射亢进,烦躁不安,舞蹈样手足徐动,新陈代谢低下","HCO3-重吸收试验,缓冲碱","低钾血症肾病","药物治疗、支持治疗","盐酸精氨酸,盐酸多沙普仑注射液,详细"
"血小板增多症","血小板增多症(primary throbocythemia)是骨髓增生性疾病，其特征为出血倾向及血栓形成，外周血血小板持续明显增多，功能也不正常，骨髓巨核细胞过度增殖。由于本病常有反复出血，故也名为出血性血小板增多症，发病率不高，多见40岁以上者。血小板增多症可分为原发性及继发性两类。原发性或特发性血小板增多症是骨髓增殖性疾病的一种，患者多为成人，小儿极少见，约5%的患儿可演变为急性白血病。","None","血液血管","血液科","多见40岁以上者","血小板增多,出血倾向,微血栓形成,脾肿大,头昏","心电图,心电图检查,血小板活化因子,血小板计数,血小板黏附功能试验","继发性血小板增多症,老年人原发性血小板增多症,小儿继发性血小板增多症,小儿原发性血小板增多症,原发性血小板增多症",,"注射用环磷酰胺,白消安片,血塞通片,详细"
"急性骨髓性白血病","急性骨髓性白血病（Acute myeloid leukemia，AML），是一种骨髓性白细胞（而非淋巴性白细胞）异常增殖的血癌。其特点是骨髓内异常细胞的快速增殖而影响了正常血细胞的产生。急性骨髓性白血病是成年人最常见的急性白血病，其发病率随着人的年龄而增加。急性骨髓性白血病还是比较罕见的疾病，在美国约占因癌症而死亡的人数的1.2%。","急性非淋巴细胞性白血病","血液血管","血液科,内科,肿瘤科","接触某些放射性物质或有害物...","淋巴结肿大,无力,心悸,气短,面色苍白","乳酸脱氢酶,尿酸,巨核细胞计数,血清尿酸,骨髓象分析","高尿酸血症,播散性血管内凝血","中药，西药治疗","乌苯美司胶囊,注射用重组人白介素-11,甲氨蝶呤片,详细"
"阵发性睡眠性血红蛋白尿","阵发性睡眠性血红蛋白尿(paroxysmal noctuRNAl hemoglobinuria，PNH)，系获得性的红细胞膜缺陷引起的慢性血管内溶血，常睡眠时加重，可伴发作性血红蛋白尿和全血细胞减少症。本病虽少见，但近年发病有增多趋势。我国北方多于南方，半数以上发生在20-40岁青壮年，个别10岁以下及70岁以上。男性多于女性。PNH一向被归为溶血病，但除贫血外常伴有中性粒细胞和(或)血小板的减少，而且PNH的分子病变累及各种血细胞，所以近年有些作者将PNH视为造血干细胞病。主要死亡原因在国内是感染，在国外是血管栓塞。","马-米二氏综合征,阵发性夜间血红蛋白尿","肾","血液科,肾内科","发病高峰年龄在20～40岁之间...","乏力,心悸,鼻衄,食欲减退,头晕","心电图,直接抗人球蛋白试验,肾功能,蛇毒因子溶血试验,骨髓象分析","血栓形成,胆石症,白血病","药物治疗支持性治疗","肾炎康复片,健脑补肾丸,肾炎康复片,详细"
"出血性疾病","当人体的止血机能发生障碍时，可引起皮肤、粘膜和内脏的自发性出血或轻微损伤后即出血不止，凡是具有这种出血倾向的疾病均可称之为出血性疾病。","None","血液血管","血液科,内科","所有人群","肚子疼,出血倾向,肝脾肿大,毛细血管扩张","凝血酶原消耗纠正试验,凝血酶时间,比格凝血活酶生成时间,血小板粘附功能,血小板聚集试验（PAgT）","贫血,休克","病因治疗、药物治疗","升血小板胶囊,注射用酚磺乙胺,咖啡酸片,详细"
